image_id,image_path,split,ma_mask,he_mask,ex_mask,se_mask
IDRiD_17,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_17.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_17_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_17_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_17_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_17_SE.tif
IDRiD_16,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_16.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_16_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_16_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_16_EX.tif,
IDRiD_02,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_02.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_02_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_02_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_02_EX.tif,
IDRiD_78,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_78.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_78_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_78_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_78_EX.tif,
IDRiD_79,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_79.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_79_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_79_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_79_EX.tif,
IDRiD_56,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_56.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_56_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_56_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_56_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_56_SE.tif
IDRiD_81,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_81.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_81_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_81_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_81_EX.tif,
IDRiD_80,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_80.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_80_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_80_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_80_EX.tif,
IDRiD_57,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_57.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_57_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_57_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_57_EX.tif,
IDRiD_55,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_55.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_55_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_55_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_55_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_55_SE.tif
IDRiD_69,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_69.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_69_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_69_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_69_EX.tif,
IDRiD_68,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_68.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_68_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_68_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_68_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_68_SE.tif
IDRiD_59,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_59.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_59_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_59_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_59_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_59_SE.tif
IDRiD_65,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_65.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_65_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_65_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_65_EX.tif,
IDRiD_71,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_71.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_71_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_71_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_71_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_71_SE.tif
IDRiD_70,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_70.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_70_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_70_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_70_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_70_SE.tif
IDRiD_64,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_64.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_64_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_64_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_64_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_64_SE.tif
IDRiD_58,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_58.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_58_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_58_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_58_EX.tif,
IDRiD_72,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_72.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_72_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_72_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_72_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_72_SE.tif
IDRiD_66,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_66.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_66_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_66_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_66_EX.tif,
IDRiD_67,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_67.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_67_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_67_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_67_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_67_SE.tif
IDRiD_73,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_73.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_73_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_73_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_73_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_73_SE.tif
IDRiD_77,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_77.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_77_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_77_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_77_EX.tif,
IDRiD_63,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_63.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_63_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_63_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_63_EX.tif,
IDRiD_62,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_62.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_62_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_62_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_62_EX.tif,
IDRiD_76,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_76.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_76_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_76_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_76_EX.tif,
IDRiD_60,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_60.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_60_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_60_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_60_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_60_SE.tif
IDRiD_74,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_74.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_74_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_74_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_74_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_74_SE.tif
IDRiD_75,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_75.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_75_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_75_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_75_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_75_SE.tif
IDRiD_61,data/raw/idrid/A. Segmentation/1. Original Images/b. Testing Set/IDRiD_61.jpg,test,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/1. Microaneurysms/IDRiD_61_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/2. Haemorrhages/IDRiD_61_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/3. Hard Exudates/IDRiD_61_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/b. Testing Set/4. Soft Exudates/IDRiD_61_SE.tif
